ensembl_gene_id	go_id
ENSCABG00000000006	GO:0003700
ENSCABG00000000006	GO:0006355
ENSCABG00000000006	GO:0003677
ENSCABG00000000006	GO:0043565
ENSCABG00000000008	GO:0055114
ENSCABG00000000008	GO:0006979
ENSCABG00000000008	GO:0004602
ENSCABG00000000009	GO:0016020
ENSCABG00000000009	GO:0055085
ENSCABG00000000009	GO:0006811
ENSCABG00000000009	GO:0005216
ENSCABG00000000011	GO:0031625
ENSCABG00000000011	GO:0061631
ENSCABG00000000011	GO:0030433
ENSCABG00000000011	GO:0000151
ENSCABG00000000013	GO:0005634
ENSCABG00000000013	GO:0003676
ENSCABG00000000013	GO:0005515
ENSCABG00000000013	GO:0019899
ENSCABG00000000013	GO:0035925
ENSCABG00000000013	GO:0006378
ENSCABG00000000013	GO:0005654
ENSCABG00000000013	GO:0005847
ENSCABG00000000015	GO:0005515
ENSCABG00000000016	GO:0016021
ENSCABG00000000016	GO:0004930
ENSCABG00000000016	GO:0007186
ENSCABG00000000016	GO:0004984
ENSCABG00000000017	GO:0006814
ENSCABG00000000017	GO:0005272
ENSCABG00000000017	GO:0016020
ENSCABG00000000019	GO:0016021
ENSCABG00000000019	GO:0004930
ENSCABG00000000019	GO:0007186
ENSCABG00000000019	GO:0004984
ENSCABG00000000022	GO:0005882
ENSCABG00000000022	GO:0005200
ENSCABG00000000023	GO:0000786
ENSCABG00000000023	GO:0046982
ENSCABG00000000023	GO:0005634
ENSCABG00000000023	GO:0003677
ENSCABG00000000024	GO:0003676
ENSCABG00000000025	GO:0005882
ENSCABG00000000025	GO:0005200
ENSCABG00000000026	GO:0045893
ENSCABG00000000026	GO:0007275
ENSCABG00000000026	GO:0008270
ENSCABG00000000029	GO:0006506
ENSCABG00000000029	GO:0000030
ENSCABG00000000029	GO:0016757
ENSCABG00000000029	GO:0097502
ENSCABG00000000029	GO:0005789
ENSCABG00000000030	GO:0003676
ENSCABG00000000030	GO:0006355
ENSCABG00000000032	GO:0005882
ENSCABG00000000032	GO:0005200
ENSCABG00000000033	GO:0006886
ENSCABG00000000034	GO:0005882
ENSCABG00000000034	GO:0005200
ENSCABG00000000036	GO:0090026
ENSCABG00000000036	GO:0006955
ENSCABG00000000036	GO:0016493
ENSCABG00000000036	GO:0006954
ENSCABG00000000036	GO:0006935
ENSCABG00000000036	GO:0004950
ENSCABG00000000036	GO:0016021
ENSCABG00000000036	GO:0004930
ENSCABG00000000036	GO:0007186
ENSCABG00000000037	GO:0005096
ENSCABG00000000037	GO:0005515
ENSCABG00000000037	GO:0001764
